indic,s_adj,unit,geo,time,values
BS-REBS,SA,BAL,NL,2018-08-01,12.4
BS-REBS,SA,BAL,PL,2018-08-01,9.3
BS-REBS,SA,BAL,PT,2018-08-01,7.9
BS-REBS,SA,BAL,RO,2018-08-01,14.9
BS-REBS,SA,BAL,RS,2018-08-01,31.8
BS-REBS,SA,BAL,SE,2018-08-01,47.4
BS-REBS,SA,BAL,SI,2018-08-01,26.9
BS-REBS,SA,BAL,SK,2018-08-01,32
BS-REBS,SA,BAL,TR,2018-08-01,-10.5
BS-REBS,SA,BAL,UK,2018-08-01,26.9
BS-REM,NSA,BAL,AT,2018-08-01,-5.9
BS-REM,NSA,BAL,BE,2018-08-01,-1.8
BS-REM,NSA,BAL,BG,2018-08-01,8.1
BS-REM,NSA,BAL,CY,2018-08-01,0
BS-REM,NSA,BAL,CZ,2018-08-01,27
BS-REM,NSA,BAL,DE,2018-08-01,1.5
BS-REM,NSA,BAL,DK,2018-08-01,2.8
BS-REM,NSA,BAL,EA19,2018-08-01,2.3
BS-REM,NSA,BAL,EE,2018-08-01,-5.2
BS-REM,NSA,BAL,EL,2018-08-01,5.7
BS-REM,NSA,BAL,ES,2018-08-01,3.7
BS-REM,NSA,BAL,EU28,2018-08-01,4.2
BS-REM,NSA,BAL,FI,2018-08-01,-8
BS-REM,NSA,BAL,FR,2018-08-01,-6.1
BS-REM,NSA,BAL,HR,2018-08-01,9.3
BS-REM,NSA,BAL,HU,2018-08-01,6.8
BS-REM,NSA,BAL,IT,2018-08-01,12.9
BS-REM,NSA,BAL,LT,2018-08-01,5.3
BS-REM,NSA,BAL,LV,2018-08-01,-0.4
BS-REM,NSA,BAL,ME,2018-08-01,10.2
BS-REM,NSA,BAL,MK,2018-08-01,0.1
BS-REM,NSA,BAL,MT,2018-08-01,51.3
BS-REM,NSA,BAL,NL,2018-08-01,9.2
BS-REM,NSA,BAL,PL,2018-08-01,6.1
BS-REM,NSA,BAL,PT,2018-08-01,2.5
BS-REM,NSA,BAL,RO,2018-08-01,13.3
BS-REM,NSA,BAL,RS,2018-08-01,17.5
BS-REM,NSA,BAL,SE,2018-08-01,4
BS-REM,NSA,BAL,SI,2018-08-01,18.7
BS-REM,NSA,BAL,SK,2018-08-01,18
BS-REM,NSA,BAL,TR,2018-08-01,-11.2
BS-REM,NSA,BAL,UK,2018-08-01,9.1
BS-REM,SA,BAL,AT,2018-08-01,-10.7
BS-REM,SA,BAL,BE,2018-08-01,-5.4
BS-REM,SA,BAL,BG,2018-08-01,7.2
BS-REM,SA,BAL,CY,2018-08-01,0.2
BS-REM,SA,BAL,CZ,2018-08-01,28.3
BS-REM,SA,BAL,DE,2018-08-01,1
BS-REM,SA,BAL,DK,2018-08-01,1
BS-REM,SA,BAL,EA19,2018-08-01,4.3
BS-REM,SA,BAL,EE,2018-08-01,4.6
BS-REM,SA,BAL,EL,2018-08-01,11.1
BS-REM,SA,BAL,ES,2018-08-01,9.1
BS-REM,SA,BAL,EU28,2018-08-01,5
BS-REM,SA,BAL,FI,2018-08-01,2.9
BS-REM,SA,BAL,FR,2018-08-01,-1
BS-REM,SA,BAL,HR,2018-08-01,15.3
BS-REM,SA,BAL,HU,2018-08-01,6.6
BS-REM,SA,BAL,IT,2018-08-01,13.9
BS-REM,SA,BAL,LT,2018-08-01,11.9
BS-REM,SA,BAL,LV,2018-08-01,2.4
BS-REM,SA,BAL,ME,2018-08-01,13.4
BS-REM,SA,BAL,MK,2018-08-01,0.1
BS-REM,SA,BAL,MT,2018-08-01,45.2
BS-REM,SA,BAL,NL,2018-08-01,10.6
BS-REM,SA,BAL,PL,2018-08-01,5.1
BS-REM,SA,BAL,PT,2018-08-01,4.1
BS-REM,SA,BAL,RO,2018-08-01,8.4
BS-REM,SA,BAL,RS,2018-08-01,16.4
BS-REM,SA,BAL,SE,2018-08-01,6.4
BS-REM,SA,BAL,SI,2018-08-01,19.7
BS-REM,SA,BAL,SK,2018-08-01,17.7
BS-REM,SA,BAL,TR,2018-08-01,-10.3
BS-REM,SA,BAL,UK,2018-08-01,6
BS-ROP,NSA,BAL,AT,2018-08-01,-13.6
BS-ROP,NSA,BAL,BE,2018-08-01,-16.7
BS-ROP,NSA,BAL,BG,2018-08-01,26.6
BS-ROP,NSA,BAL,CY,2018-08-01,3.5
BS-ROP,NSA,BAL,CZ,2018-08-01,15
BS-ROP,NSA,BAL,DE,2018-08-01,-7.4
BS-ROP,NSA,BAL,DK,2018-08-01,6.1
BS-ROP,NSA,BAL,EA19,2018-08-01,1.5
BS-ROP,NSA,BAL,EE,2018-08-01,4.3
BS-ROP,NSA,BAL,EL,2018-08-01,11.6
BS-ROP,NSA,BAL,ES,2018-08-01,17
BS-ROP,NSA,BAL,EU28,2018-08-01,2.4
BS-ROP,NSA,BAL,FI,2018-08-01,15
BS-ROP,NSA,BAL,FR,2018-08-01,6.2
BS-ROP,NSA,BAL,HR,2018-08-01,4
BS-ROP,NSA,BAL,HU,2018-08-01,14.2
BS-ROP,NSA,BAL,IT,2018-08-01,2.4
BS-ROP,NSA,BAL,LT,2018-08-01,13.8
BS-ROP,NSA,BAL,LV,2018-08-01,8.3
BS-ROP,NSA,BAL,ME,2018-08-01,25.2
BS-ROP,NSA,BAL,MK,2018-08-01,2.3
BS-ROP,NSA,BAL,MT,2018-08-01,9.3
BS-ROP,NSA,BAL,NL,2018-08-01,1.7
BS-ROP,NSA,BAL,PL,2018-08-01,6
BS-ROP,NSA,BAL,PT,2018-08-01,2.3
BS-ROP,NSA,BAL,RO,2018-08-01,18.4
BS-ROP,NSA,BAL,RS,2018-08-01,18.3
BS-ROP,NSA,BAL,SE,2018-08-01,32
BS-ROP,NSA,BAL,SI,2018-08-01,9.6
